[16 oct 12:54:19] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +1 Samurai Longsword - Haste(1) [268483278], Scroll: Enchant Weapon (C-Grade)(4) [268483309]
[16 oct 12:54:40] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +2 Samurai Longsword - Haste(1) [268483278], Scroll: Enchant Weapon (C-Grade)(3) [268483309]
[16 oct 12:54:48] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +3 Samurai Longsword - Haste(1) [268483278], Scroll: Enchant Weapon (C-Grade)(2) [268483309]
[16 oct 12:55:07] Fail, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +3 Samurai Longsword - Haste(0) [268483278], Scroll: Enchant Weapon (C-Grade)(1) [268483309]
[16 oct 12:55:49] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +1 Samurai Longsword - Haste(1) [268483320], Scroll: Enchant Weapon (C-Grade)(3) [268483309]
[16 oct 12:55:54] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +2 Samurai Longsword - Haste(1) [268483320], Scroll: Enchant Weapon (C-Grade)(2) [268483309]
[16 oct 12:56:02] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +3 Samurai Longsword - Haste(1) [268483320], Scroll: Enchant Weapon (C-Grade)(1) [268483309]
[16 oct 12:56:08] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +4 Samurai Longsword - Haste(1) [268483320], Scroll: Enchant Weapon (C-Grade)(0) [268483309]
[16 oct 14:11:52] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +1 Durendal - Haste(1) [268484214], Blessed Scroll: Enchant Weapon (A-Grade)(7) [268484724]
[16 oct 14:11:57] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +2 Durendal - Haste(1) [268484214], Blessed Scroll: Enchant Weapon (A-Grade)(6) [268484724]
[16 oct 14:12:02] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +3 Durendal - Haste(1) [268484214], Blessed Scroll: Enchant Weapon (A-Grade)(5) [268484724]
[16 oct 14:12:08] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +4 Durendal - Haste(1) [268484214], Blessed Scroll: Enchant Weapon (A-Grade)(4) [268484724]
[16 oct 15:28:44] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +1 Icarus Stinger {PvP} - Focus(1) [268485875], Safe Scroll: Enchant Weapon (S-Grade)(49) [268486446]
[16 oct 15:29:03] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +2 Icarus Stinger {PvP} - Focus(1) [268485875], Safe Scroll: Enchant Weapon (S-Grade)(48) [268486446]
[16 oct 15:29:08] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +3 Icarus Stinger {PvP} - Focus(1) [268485875], Safe Scroll: Enchant Weapon (S-Grade)(47) [268486446]
[16 oct 15:29:17] Fail, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +3 Icarus Stinger {PvP} - Focus(0) [268485875], Safe Scroll: Enchant Weapon (S-Grade)(46) [268486446]
[16 oct 15:30:22] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +1 Icarus Stinger {PvP} - Focus(1) [268486463], Safe Scroll: Enchant Weapon (S-Grade)(45) [268486446]
[16 oct 15:30:27] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +2 Icarus Stinger {PvP} - Focus(1) [268486463], Safe Scroll: Enchant Weapon (S-Grade)(44) [268486446]
[16 oct 15:30:32] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +3 Icarus Stinger {PvP} - Focus(1) [268486463], Safe Scroll: Enchant Weapon (S-Grade)(43) [268486446]
[16 oct 15:30:38] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +4 Icarus Stinger {PvP} - Focus(1) [268486463], Safe Scroll: Enchant Weapon (S-Grade)(42) [268486446]
[16 oct 15:31:27] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +1 Icarus Wingblade {PvP} - Focus(1) [268485877], Safe Scroll: Enchant Weapon (S-Grade)(41) [268486446]
[16 oct 15:31:32] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +2 Icarus Wingblade {PvP} - Focus(1) [268485877], Safe Scroll: Enchant Weapon (S-Grade)(40) [268486446]
[16 oct 15:31:39] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +3 Icarus Wingblade {PvP} - Focus(1) [268485877], Safe Scroll: Enchant Weapon (S-Grade)(39) [268486446]
[16 oct 15:31:47] Success, Character:zeze [268482125] Account:zeze IP:127.0.0.1, +4 Icarus Wingblade {PvP} - Focus(1) [268485877], Safe Scroll: Enchant Weapon (S-Grade)(38) [268486446]
