[03 sep 21:52:03] CREATE:ItemAuction, item 268437784:Improved Ring of Queen Ant(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437785:Lava Saw(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437786:Refined Black Feather Mask(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437787:Vigwik Axe(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437788:Green Soul Crystal - Stage 15(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437789:Vigwik Axe(1)
[03 sep 21:58:46] CREATE:Hellbound Map, item 268483949:Map of Hellbound(1), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[03 sep 22:22:46] CHANGE:Scheme system, item 268482500:Adena(38564687729), PrevCount(38564690329), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[03 sep 22:39:37] CHANGE:Admin, item 268482928:Festival Adena(4223), PrevCount(4222), L2PcInstance:Kira[268481600]
[03 sep 22:39:42] CHANGE:Admin, item 268482928:Festival Adena(4224), PrevCount(4223), L2PcInstance:Kira[268481600]
[03 sep 22:40:17] CHANGE:Admin, item 268482928:Festival Adena(104223), PrevCount(4224), L2PcInstance:Kira[268481600]
[03 sep 22:41:34] CHANGE:Admin, item 268482237:Festival Adena(10000000), PrevCount(9999999), L2PcInstance:Kira[268481600]
[03 sep 22:42:16] CHANGE:Admin, item 268482237:Festival Adena(10000333), PrevCount(10000000), L2PcInstance:Kira[268481600]
[03 sep 22:46:33] CHANGE:ClassMaster, item 268482500:Adena(38554687729), PrevCount(38564687729), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[03 sep 22:46:33] CREATE:ClassMaster, item 268484405:Giant's Codex(5), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[03 sep 22:52:38] CREATE:Admin, item 268484469:Donation Coin(1), L2PcInstance:Kira[268481600]
[03 sep 22:53:01] CHANGE:Admin, item 268484469:Donation Coin(100000000), PrevCount(1), L2PcInstance:Kira[268481600]
[03 sep 22:55:31] CREATE:Admin, item 268484479:Vote Coin(1), L2PcInstance:Kira[268481600]
[03 sep 22:55:56] CHANGE:Admin, item 268484479:Vote Coin(2147483647), PrevCount(1), L2PcInstance:Kira[268481600]
[03 sep 22:56:16] CHANGE:Multisell, item 268484479:Vote Coin(2147483447), PrevCount(2147483647), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[03 sep 22:56:16] CREATE:Multisell, item 268484480:Vote Scroll: Enchant Armor (S-Grade)(1), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[03 sep 22:59:17] CHANGE:ClassMaster, item 268482500:Adena(38544687729), PrevCount(38554687729), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[03 sep 22:59:17] CHANGE:ClassMaster, item 268484405:Giant's Codex(10), PrevCount(5), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[03 sep 23:02:03] CHANGE:Scheme system, item 268482500:Adena(38544685129), PrevCount(38544687729), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[03 sep 23:02:49] CREATE:Admin, item 268484560:Gold Knight(1), L2PcInstance:Kira[268481600]
[03 sep 23:03:18] CHANGE:Admin, item 268484560:Gold Knight(2147483647), PrevCount(1), L2PcInstance:Kira[268481600]
[03 sep 23:04:34] CHANGE:Clan donate, item 268482500:Adena(38544685099), PrevCount(38544685129), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[03 sep 23:07:18] CREATE:Loot, item 268484596:Adena(43647), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477956]
[03 sep 23:07:18] CREATE:Loot, item 268484597:Adena(48406), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477964]
[03 sep 23:07:18] CREATE:Loot, item 268484598:Adena(43081), L2PcInstance:Kira[268481600], L2MonsterInstance:Sagittarius(6002)[268477967]
[03 sep 23:07:18] CREATE:Loot, item 268484599:Adena(15902), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268481422]
[03 sep 23:07:18] CREATE:Loot, item 268484600:Shining Arrow(264), L2PcInstance:Kira[268481600], L2MonsterInstance:Passageway Guards(22371)[268481422]
[03 sep 23:07:18] CREATE:Loot, item 268484601:Adena(49014), L2PcInstance:Kira[268481600], L2MonsterInstance:Duelist(6001)[268477920]
